,Date,Open,High,Low,Close,Adj Close,Volume,bb_bbm,bb_bbh,bb_bbl,atr,macd,cci,ema,roc,sma12,sma5,stochastic_oscillator,mtm6,mtm12
3046,2012-02-10,70.137146,71.08856999999999,69.792854,70.488571,61.021763,157825500,64.17578559999998,70.56655556397753,57.78501563602243,1.1249151799034436,2.6975762176981846,167.19375504202898,66.10804569161519,10.468813037671696,66.2911900833333,68.45914299999994,94.62022056235828,8.415362083812248,10.468813037671696
3047,2012-02-13,71.361427,71.975716,71.012856,71.800003,62.157066,129304000,64.76714284999998,71.66177447571368,57.87251122428629,1.15078873848177,2.9134938304095925,172.4930465596693,66.86697333273317,13.037813981013752,66.98130949999997,69.56285859999994,97.97332226682299,9.336935320246278,13.037813981013752
3048,2012-02-14,72.094284,72.794289,71.714287,72.779999,63.005447,115099600,65.37257134999999,72.82615900479715,57.918983695202826,1.1457325428759297,3.1276341613896506,168.1463673588629,67.65537675503542,13.901802872441383,67.72154741666664,70.72371519999993,99.84939782844103,9.804517630693676,13.901802872441383
3049,2012-02-15,73.465714,75.184288,70.98428299999999,71.095711,61.547375,376530000,65.86228539999999,73.46706788453032,58.25750291546966,1.363894861241935,3.125406213737108,142.4425373495623,68.11408798769736,9.858497427688102,68.2532138333333,71.32342839999993,65.31745909216838,6.1514758573092205,9.858497427688102
3050,2012-02-16,70.214287,72.127144,69.51857,71.744286,62.108814,236138000,66.39414255,74.08169995712349,58.70658514287651,1.4528005140103686,3.1397816825137568,100.06878331018255,68.59811438933771,10.017968323526615,68.7976188333333,71.58171399999992,70.23484348728377,5.355791347787055,10.017968323526615
3051,2012-02-17,71.872856,72.538574,71.471428,71.73143,62.09771,133951300,66.97857115,74.41912731950768,59.53801498049231,1.4252537630096274,3.1142379764839063,102.84901121208657,69.01588980409268,10.068178918771812,69.34440483333331,71.83028579999993,66.98988212140371,1.814790820835134,10.068178918771812
3052,2012-02-21,72.41143000000001,73.550003,72.017143,73.550003,63.672047,151398800,67.60314274999999,75.04820690916823,60.15807859083175,1.4533479942232255,3.2038065603467345,111.31984400177237,69.62043823021365,13.124015615389311,70.05547649999998,72.18028579999992,84.17923830024435,4.343160822482854,13.124015615389311
3053,2012-02-22,73.29714200000001,73.641426,72.724289,73.291428,63.4482,120825600,68.2647856,75.2479869095142,61.2815842904858,1.4150472089215662,3.216843695164087,103.05786265058411,70.10990353285183,11.60807504095071,70.6907145833333,72.28257159999991,81.67609260869456,2.0771935065239373,11.60807504095071
3054,2012-02-23,73.58285500000001,73.975716,72.785713,73.769997,63.862494999999996,142006900,68.7628569,75.82420955010559,61.70150424989441,1.398972622570026,3.228575231614556,97.56092841789862,70.59791599513827,11.298145747469981,71.31476224999997,72.81742879999992,86.00305850408438,1.3602610794210095,11.298145747469981
3055,2012-02-24,74.238571,74.699997,74.091431,74.629997,64.60701,103768000,69.31842825,76.39036014461642,62.24649635538356,1.365474578100738,3.2695777147981033,106.49316930330262,71.1355267957865,11.428442213294138,71.95261899999997,73.39457099999991,94.3016047262393,4.971166263461391,11.428442213294138
3056,2012-02-27,74.47285500000001,75.5,73.754288,75.108574,65.021309,136895500,69.87899975,76.92047346457376,62.83752603542625,1.3926343939506851,3.3026191051578735,104.9409247268947,71.66526642301497,10.296215795831099,72.53690474999998,74.06999979999992,95.71342150935367,4.689276578764757,10.296215795831099
3057,2012-02-28,75.422859,76.487144,75.121429,76.487144,66.214722,150096800,70.46757125,77.65076667885442,63.28437582114559,1.3916297943827787,3.400840945409456,122.46236191976462,72.30818343327965,8.564998172253011,73.03976191666665,74.65742799999992,100.0,6.6298887391482335,8.564998172253011
3058,2012-02-29,77.36571500000001,78.230003,76.528572,77.49143199999999,67.084114,238002800,71.08157155,78.45936407112535,63.703779028874656,1.4167175947840085,3.519153498935239,140.87893322944043,72.99928324217571,9.934746726529605,73.62333366666665,75.49742879999992,92.28934366541986,5.358842745390486,9.934746726529605
3059,2012-03-01,78.309998,78.315712,76.96714,77.781425,67.335175,170817500,71.71214289999999,79.11684468048333,64.30744111951665,1.4118500522994368,3.5948775508550312,137.2678508208946,73.63690214321895,8.330670961114018,74.12178549999999,76.29971439999993,93.92658433841348,6.126223928942963,8.330670961114018
