,date,open,close,low,high,volume,bb_bbm,bb_bbh,bb_bbl,atr,macd,cci,ema,roc,sma12,sma5,stochastic_oscillator,mtm6,mtm12
2235,12/4/08,13.7029,13.0143,12.7471,13.8571,0,13.06878,14.4250399,11.7125201,0.991482268,-0.408720337,19.13107519,13.15334153,2.844882767,12.84499167,13.17714,66.89319244,-0.109758531,2.844882767
2236,12/5/08,13.1143,13.4,12.7114,13.4914,0,13.031565,14.30612131,11.75700869,0.976376392,-0.356526893,28.99418483,13.18622933,4.804586374,12.89618333,13.21714,82.04423145,-1.169737289,4.804586374
2237,12/8/08,13.6671,14.0786,13.6671,14.3833,0,13.030425,14.30118684,11.75966316,0.976870935,-0.257438276,164.9936949,13.30521208,14.16870753,13.04178333,13.47572,90.08105733,6.656060606,14.16870753
2238,12/9/08,14.2,14.31,13.8929,14.789,0,13.06378,14.42863264,11.69892736,0.971101583,-0.158411715,198.7253439,13.4391838,23.98842428,13.2725,13.69486,86.22613297,11.92191276,23.98842428
2239,12/10/08,13.8571,14.0143,13.79,14.4429,0,13.08521,14.49489199,11.67552801,0.948372898,-0.102610145,148.2420258,13.51586596,19.25642902,13.461075,13.76344,77.7231424,6.054047509,19.25642902
2240,12/11/08,14.0171,13.4286,13.4,14.4471,0,13.13114,14.52260509,11.73967491,0.955424834,-0.104444127,91.1455909,13.5042305,1.293646423,13.47536667,13.8463,60.8810674,-1.775970274,1.293646423
2241,12/12/08,13.2557,14.0957,13.1529,14.1286,0,13.15057,14.58388581,11.71725419,0.95687306,-0.051474807,87.3589944,13.5830931,8.190442565,13.56429167,13.98544,76.23731834,8.309321285,8.190442565
2242,12/15/08,14.0386,13.5286,13.29,14.0386,0,13.1825,14.61962146,11.74537854,0.946074985,-0.054626766,58.44611803,13.57582735,-0.221261782,13.56179167,13.87544,47.36710235,0.959701493,-0.221261782
2243,12/16/08,13.4571,13.2771,12.8214,13.7671,0,13.21364,14.63047806,11.79680194,0.9460482,-0.0765364,12.66083136,13.53599704,0.584090909,13.56821667,13.66886,36.86474297,-5.69303766,0.584090909
2244,12/17/08,13.2771,12.7371,12.577,13.3929,0,13.21121,14.63113887,11.79128113,0.9367519,-0.135906782,-41.49179913,13.42947744,-0.380112157,13.56416667,13.41342,14.3149455,-10.99161426,-0.380112157
2245,12/18/08,12.8443,12.8386,12.6471,12.9971,0,13.23657,14.6100983,11.8630417,0.89484105,-0.172776376,-55.10367588,13.35069378,-2.843132061,13.53285833,13.29542,18.55347225,-8.389288084,-2.843132061
2246,12/19/08,12.7586,12.8557,12.7071,12.98,0,13.302285,14.45276242,12.15180758,0.850416689,-0.198329747,-66.94768097,13.28469461,-5.966470149,13.46488333,13.04742,19.26754917,-4.266267519,-5.966470149
2247,12/22/08,12.8571,12.2957,12.1029,12.9571,0,13.3295,14.35039641,12.30860359,0.850686926,-0.260762391,-148.4355385,13.15282866,-5.521618527,13.405,12.80084,7.177692565,-12.7698518,-5.521618527
2248,12/23/08,12.3014,12.3386,12.2829,12.5414,0,13.283575,14.39223241,12.17491759,0.80838786,-0.303282982,-147.1462778,13.04426484,-7.920895522,13.31655,12.61314,8.774803619,-8.796179945,-7.920895522
2249,12/24/08,12.3,12.1557,12.0957,12.34,0,13.23993,14.44944216,12.03041784,0.76809587,-0.347730932,-153.9936512,12.92578953,-13.6583183,13.15630833,12.49686,2.227750343,-8.446121518,-13.6583183
2250,12/26/08,12.1557,12.2857,12.1557,12.4671,0,13.176285,14.44455855,11.90801145,0.735474736,-0.368221709,-119.8254196,12.84044426,-14.14605171,12.98761667,12.38628,7.054542754,-3.543977829,-14.14605171
2251,12/29/08,12.4357,12.4129,12.1529,12.5214,0,13.13693,14.4479454,11.8259146,0.709262255,-0.369932469,-98.30232242,12.78343836,-11.42689967,12.85416667,12.29772,11.77737348,-3.315782095,-11.42689967
